order,start_day,name,place,image,,,,
139,1130,広告でよく見るゲームを実況する,オンライン,images/1130/広告でよく見るゲームを実況する.jpg,,,,
140,1130,ショット麻雀,食堂,images/1130/ショット麻雀.jpg,,,,
141,1130,進捗,食堂PC前,images/1130/進捗.jpg,,,,
142,1130,あくた川から寺さんに手振る,百万遍,images/1130/あくた川から寺さんに手振る.jpg,,,,
143,1130,三遠南信コンパ,食堂・ロビー,images/1130/三遠南信コンパ.jpg,,,,
144,1130,スーパー民青池掬い,民青池,images/1130/スーパー民青池掬い.jpg,,,,
145,1130,ミックスジュースを作る,食堂,images/1130/ミックスジュースを作る.jpg,,,,
146,1130,磁器フリスビー,グラウンド,images/1130/磁器フリスビー.jpg,,,,
147,1130,第六夜,寮内のどこか,images/1130/第六夜.jpg,,,,
148,1130,ｎ階から目薬,熊野寮,images/1130/ｎ階から目薬.jpg,,,,
149,1130,絶対笑ってはいけない座禅,熊野寮,images/1130/絶対笑ってはいけない座禅.jpg,,,,
150,1130,劇団「未必の故意」旗揚げ公演,食北,images/1130/劇団「未必の故意」旗揚げ公演.jpg,,,,
151,1130,みかん祭り,民青池,images/1130/みかん祭り.jpg,,,,
152,1130,昭和喫茶,どこでも,images/1130/昭和喫茶.jpg,,,,
153,1130,作曲,音楽室,images/1130/作曲.jpg,,,,
154,1130,セッション,音楽室,images/1130/セッション.jpg,,,,
155,1130,主成分で料理,食堂,images/1130/主成分で料理.jpg,,,,
156,1130,前進を読む,食堂,images/1130/前進を読む.jpg,,,,
157,1130,部屋汚い人コンパ,食堂,images/1130/部屋汚い人コンパ.jpg,,,,
158,1130,お風呂入らない人コンパ,食堂,images/1130/お風呂入らない人コンパ.jpg,,,,
159,1130,お風呂以外全部入る人コンパ,食堂,images/1130/お風呂以外全部入る人コンパ.jpg,,,,
160,1130,爪の赤を煎じて飲む,食堂,images/1130/爪の赤を煎じて飲む.jpg,,,,
161,1130,ジブリ野外上映会,玄関,images/1130/ジブリ野外上映会.jpg,,,,
162,1130,エレクトーン講習会,音楽室,images/1130/エレクトーン講習会.jpg,,,,
163,1130,松田単独ライブ,音楽室,images/1130/松田単独ライブ.jpg,,,,
164,1130,反ワクチンvs京大生,食堂,images/1130/反ワクチンvs京大生.jpg,,,,
165,1130,強い証明写真,食堂,images/1130/強い証明写真.jpg,,,,
166,1130,ウタカタララバイ（合唱）,音楽室,images/1130/ウタカタララバイ（合唱）.jpg,,,,
167,1130,スプラ２を救う,クスノキ前,images/1130/スプラ２を救う.jpg,,,,
168,1130,ゲテモノコンパ,食堂,images/1130/ゲテモノコンパ.jpg,,,,
169,1130,闘争映画上映会,食北,images/1130/闘争映画上映会.jpg,,,,
170,1130,極右と極左を足して２で割ってみる,食堂,images/1130/極右と極左を足して２で割ってみる.jpg,,,,
171,1130,ビワマスとって食べる,玄関,images/1130/ビワマスとって食べる.jpg,,,,
172,1130,成績証明書から誰か当てる,食堂,images/1130/成績証明書から誰か当てる.jpg,,,,
173,1130,白川脱毛,食堂or食北,images/1130/白川脱毛.jpg,,,,
174,1201,月次朝礼,食堂,images/1201/月次朝礼.jpg,,,,
175,1201,京都芸術大学「不和・軋轢」展示会,食北、鉄扉、ボイラー室,images/1201/京都芸術大学「不和・軋轢」展示会.jpg,,,,
176,1201,退寮オリエンテーション,食北,images/1201/退寮オリエンテーション.jpg,,,,
177,1201,初心者マーク爆盛りコンテスト,駐車場,images/1201/初心者マーク爆盛りコンテスト.jpg,,,,
178,1201,幼児期学歴選手権大会,どこでも,images/1201/幼児期学歴選手権大会.jpg,,,,
179,1201,熊野寮放送部特別編,どこでも,images/1201/熊野寮放送部特別編.jpg,,,,
180,1201,アマチュア無線体験,A棟屋上,images/1201/アマチュア無線体験.jpg,,,,
181,1201,AB、BC棟間ターザンロープ,屋上,images/1201/AB、BC棟間ターザンロープ.jpg,,,,
